valid_time,temp_2m_t-5,temp_2m_t-4,temp_2m_t-3,temp_2m_t-2,temp_2m_t-1,temp_2m_t-0,dewpoint_2m_t-5,dewpoint_2m_t-4,dewpoint_2m_t-3,dewpoint_2m_t-2,dewpoint_2m_t-1,dewpoint_2m_t-0,wind_u_10m_t-5,wind_u_10m_t-4,wind_u_10m_t-3,wind_u_10m_t-2,wind_u_10m_t-1,wind_u_10m_t-0,wind_v_10m_t-5,wind_v_10m_t-4,wind_v_10m_t-3,wind_v_10m_t-2,wind_v_10m_t-1,wind_v_10m_t-0,surface_pressure_t-5,surface_pressure_t-4,surface_pressure_t-3,surface_pressure_t-2,surface_pressure_t-1,surface_pressure_t-0,target_temp_t+1
2023-11-10 04:00:00,-0.22479303,-0.27568367,-0.34941682,-0.40575492,-0.44311517,-0.51719797,0.12503672,0.108735375,0.07961441,0.04124603,-0.004827356,-0.08100703,-0.242016,-0.40038204,-0.36930865,-0.26692423,-0.2232066,-0.16615309,-0.2973936,-0.3291852,-0.41896644,-0.68281215,-0.8595045,-0.9655245,-0.45925295,-0.3355927,-0.283528,-0.1453494,-0.029700724,0.023985358,-0.10255337
2023-11-10 05:00:00,-0.27568367,-0.34941682,-0.40575492,-0.44311517,-0.51719797,-0.61975133,0.108735375,0.07961441,0.04124603,-0.004827356,-0.08100703,-0.20842347,-0.40038204,-0.36930865,-0.26692423,-0.2232066,-0.16615309,-0.079760976,-0.3291852,-0.41896644,-0.68281215,-0.8595045,-0.9655245,-0.98599815,-0.3355927,-0.283528,-0.1453494,-0.029700724,0.023985358,0.09910984,0.007283807
2023-11-10 06:00:00,-0.34941682,-0.40575492,-0.44311517,-0.51719797,-0.61975133,-0.6124675,0.07961441,0.04124603,-0.004827356,-0.08100703,-0.20842347,-0.29140988,-0.36930865,-0.26692423,-0.2232066,-0.16615309,-0.079760976,0.023749642,-0.41896644,-0.68281215,-0.8595045,-0.9655245,-0.98599815,-0.95490205,-0.283528,-0.1453494,-0.029700724,0.023985358,0.09910984,0.12426791,-0.04706812
2023-11-10 07:00:00,-0.40575492,-0.44311517,-0.51719797,-0.61975133,-0.6124675,-0.65953565,0.04124603,-0.004827356,-0.08100703,-0.20842347,-0.29140988,-0.3868016,-0.26692423,-0.2232066,-0.16615309,-0.079760976,0.023749642,0.1611944,-0.68281215,-0.8595045,-0.9655245,-0.98599815,-0.95490205,-0.7898959,-0.1453494,-0.029700724,0.023985358,0.09910984,0.12426791,0.19252533,-0.022596717
2023-11-10 08:00:00,-0.44311517,-0.51719797,-0.61975133,-0.6124675,-0.65953565,-0.68213236,-0.004827356,-0.08100703,-0.20842347,-0.29140988,-0.3868016,-0.4841814,-0.2232066,-0.16615309,-0.079760976,0.023749642,0.1611944,0.2928636,-0.8595045,-0.9655245,-0.98599815,-0.95490205,-0.7898959,-0.5109849,-0.029700724,0.023985358,0.09910984,0.12426791,0.19252533,0.23972584,-0.002393365
2023-11-10 09:00:00,-0.51719797,-0.61975133,-0.6124675,-0.65953565,-0.68213236,-0.6845257,-0.08100703,-0.20842347,-0.29140988,-0.3868016,-0.4841814,-0.5052631,-0.16615309,-0.079760976,0.023749642,0.1611944,0.2928636,0.39300025,-0.9655245,-0.98599815,-0.95490205,-0.7898959,-0.5109849,-0.25820237,0.023985358,0.09910984,0.12426791,0.19252533,0.23972584,0.2732876,0.025170624
2023-11-10 10:00:00,-0.61975133,-0.6124675,-0.65953565,-0.68213236,-0.6845257,-0.6593551,-0.20842347,-0.29140988,-0.3868016,-0.4841814,-0.5052631,-0.430584,-0.079760976,0.023749642,0.1611944,0.2928636,0.39300025,0.45807,-0.98599815,-0.95490205,-0.7898959,-0.5109849,-0.25820237,-0.3314265,0.09910984,0.12426791,0.19252533,0.23972584,0.2732876,0.38081872,0.026015759
2023-11-10 11:00:00,-0.6124675,-0.65953565,-0.68213236,-0.6845257,-0.6593551,-0.63333935,-0.29140988,-0.3868016,-0.4841814,-0.5052631,-0.430584,-0.4598965,0.023749642,0.1611944,0.2928636,0.39300025,0.45807,0.5174447,-0.95490205,-0.7898959,-0.5109849,-0.25820237,-0.3314265,-0.020050153,0.12426791,0.19252533,0.23972584,0.2732876,0.38081872,0.46494034,0.012181938
2023-11-10 12:00:00,-0.65953565,-0.68213236,-0.6845257,-0.6593551,-0.63333935,-0.6211574,-0.3868016,-0.4841814,-0.5052631,-0.430584,-0.4598965,-0.49705327,0.1611944,0.2928636,0.39300025,0.45807,0.5174447,0.6292595,-0.7898959,-0.5109849,-0.25820237,-0.3314265,-0.020050153,0.11336152,0.19252533,0.23972584,0.2732876,0.38081872,0.46494034,0.5806208,0.029338837
2023-11-10 13:00:00,-0.68213236,-0.6845257,-0.6593551,-0.63333935,-0.6211574,-0.5918186,-0.4841814,-0.5052631,-0.430584,-0.4598965,-0.49705327,-0.5350491,0.2928636,0.39300025,0.45807,0.5174447,0.6292595,0.6833323,-0.5109849,-0.25820237,-0.3314265,-0.020050153,0.11336152,0.08248775,0.23972584,0.2732876,0.38081872,0.46494034,0.5806208,0.6387154,0.027875185
2023-11-10 14:00:00,-0.6845257,-0.6593551,-0.63333935,-0.6211574,-0.5918186,-0.5639434,-0.5052631,-0.430584,-0.4598965,-0.49705327,-0.5350491,-0.5608973,0.39300025,0.45807,0.5174447,0.6292595,0.6833323,0.75110084,-0.25820237,-0.3314265,-0.020050153,0.11336152,0.08248775,0.028020775,0.2732876,0.38081872,0.46494034,0.5806208,0.6387154,0.6653359,0.0328117
2023-11-10 15:00:00,-0.6593551,-0.63333935,-0.6211574,-0.5918186,-0.5639434,-0.5311317,-0.430584,-0.4598965,-0.49705327,-0.5350491,-0.5608973,-0.60676175,0.45807,0.5174447,0.6292595,0.6833323,0.75110084,0.7706125,-0.3314265,-0.020050153,0.11336152,0.08248775,0.028020775,0.104562014,0.38081872,0.46494034,0.5806208,0.6387154,0.6653359,0.64554006,-0.013676345
2023-11-10 16:00:00,-0.63333935,-0.6211574,-0.5918186,-0.5639434,-0.5311317,-0.54480803,-0.4598965,-0.49705327,-0.5350491,-0.5608973,-0.60676175,-0.5997113,0.5174447,0.6292595,0.6833323,0.75110084,0.7706125,1.010194,-0.020050153,0.11336152,0.08248775,0.028020775,0.104562014,0.31086338,0.46494034,0.5806208,0.6387154,0.6653359,0.64554006,0.6916596,0.0075796247
2023-11-10 17:00:00,-0.6211574,-0.5918186,-0.5639434,-0.5311317,-0.54480803,-0.5372284,-0.49705327,-0.5350491,-0.5608973,-0.60676175,-0.5997113,-0.59456885,0.6292595,0.6833323,0.75110084,0.7706125,1.010194,1.2394594,0.11336152,0.08248775,0.028020775,0.104562014,0.31086338,0.41431078,0.5806208,0.6387154,0.6653359,0.64554006,0.6916596,0.6962376,-0.012735128
2023-11-10 18:00:00,-0.5918186,-0.5639434,-0.5311317,-0.54480803,-0.5372284,-0.54996353,-0.5350491,-0.5608973,-0.60676175,-0.5997113,-0.59456885,-0.6178301,0.6833323,0.75110084,0.7706125,1.010194,1.2394594,1.2050484,0.08248775,0.028020775,0.104562014,0.31086338,0.41431078,0.57978654,0.6387154,0.6653359,0.64554006,0.6916596,0.6962376,0.6234764,-0.024506032
2023-11-10 19:00:00,-0.5639434,-0.5311317,-0.54480803,-0.5372284,-0.54996353,-0.57446957,-0.5608973,-0.60676175,-0.5997113,-0.59456885,-0.6178301,-0.6468675,0.75110084,0.7706125,1.010194,1.2394594,1.2050484,1.1168131,0.028020775,0.104562014,0.31086338,0.41431078,0.57978654,0.7281458,0.6653359,0.64554006,0.6916596,0.6962376,0.6234764,0.5830052,-0.012170434
