valid_time,temp_2m_t-0,temp_2m_t-1,temp_2m_t-2,temp_2m_t-3,temp_2m_t-4,temp_2m_t-5,dewpoint_2m_t-0,dewpoint_2m_t-1,dewpoint_2m_t-2,dewpoint_2m_t-3,dewpoint_2m_t-4,dewpoint_2m_t-5,wind_u_10m_t-0,wind_u_10m_t-1,wind_u_10m_t-2,wind_u_10m_t-3,wind_u_10m_t-4,wind_u_10m_t-5,wind_v_10m_t-0,wind_v_10m_t-1,wind_v_10m_t-2,wind_v_10m_t-3,wind_v_10m_t-4,wind_v_10m_t-5,surface_pressure_t-0,surface_pressure_t-1,surface_pressure_t-2,surface_pressure_t-3,surface_pressure_t-4,surface_pressure_t-5,target_temp_t+1
2023-01-02 04:00:00,6.5778503,6.7235107,7.0820007,7.2645264,7.766632,8.463928,3.2123108,3.224823,3.302765,3.1828003,3.3321533,3.167694,2.3998382,2.545791,2.915537,2.9101515,2.4959052,2.1571753,0.6515375,0.42405882,0.2723993,0.38154358,0.577356,0.18636109,101208.5,101209.64,101203.91,101174.12,101074.3,101004.77,6.453766
2023-01-02 05:00:00,6.453766,6.5778503,6.7235107,7.0820007,7.2645264,7.766632,3.0945435,3.2123108,3.224823,3.302765,3.1828003,3.3321533,2.5236628,2.3998382,2.545791,2.915537,2.9101515,2.4959052,0.9716669,0.6515375,0.42405882,0.2723993,0.38154358,0.577356,101207.43,101208.5,101209.64,101203.91,101174.12,101074.3,6.4110107
2023-01-02 06:00:00,6.4110107,6.453766,6.5778503,6.7235107,7.0820007,7.2645264,3.1433716,3.0945435,3.2123108,3.224823,3.302765,3.1828003,2.7253895,2.5236628,2.3998382,2.545791,2.915537,2.9101515,1.0132581,0.9716669,0.6515375,0.42405882,0.2723993,0.38154358,101177.05,101207.43,101208.5,101209.64,101203.91,101174.12,6.328064
2023-01-02 07:00:00,6.328064,6.4110107,6.453766,6.5778503,6.7235107,7.0820007,3.284668,3.1433716,3.0945435,3.2123108,3.224823,3.302765,3.286726,2.7253895,2.5236628,2.3998382,2.545791,2.915537,0.49995363,1.0132581,0.9716669,0.6515375,0.42405882,0.2723993,101234.51,101177.05,101207.43,101208.5,101209.64,101203.91,6.0679016
2023-01-02 08:00:00,6.0679016,6.328064,6.4110107,6.453766,6.5778503,6.7235107,3.2263184,3.284668,3.1433716,3.0945435,3.2123108,3.224823,3.3615386,3.286726,2.7253895,2.5236628,2.3998382,2.545791,-0.200672,0.49995363,1.0132581,0.9716669,0.6515375,0.42405882,101297.89,101234.51,101177.05,101207.43,101208.5,101209.64,5.6570435
2023-01-02 09:00:00,5.6570435,6.0679016,6.328064,6.4110107,6.453766,6.5778503,3.248291,3.2263184,3.284668,3.1433716,3.0945435,3.2123108,3.0744953,3.3615386,3.286726,2.7253895,2.5236628,2.3998382,-0.7262451,-0.200672,0.49995363,1.0132581,0.9716669,0.6515375,101317.86,101297.89,101234.51,101177.05,101207.43,101208.5,4.724365
2023-01-02 10:00:00,4.724365,5.6570435,6.0679016,6.328064,6.4110107,6.453766,2.6695557,3.248291,3.2263184,3.284668,3.1433716,3.0945435,2.798971,3.0744953,3.3615386,3.286726,2.7253895,2.5236628,-0.111604005,-0.7262451,-0.200672,0.49995363,1.0132581,0.9716669,101341.42,101317.86,101297.89,101234.51,101177.05,101207.43,4.511383
2023-01-02 11:00:00,4.511383,4.724365,5.6570435,6.0679016,6.328064,6.4110107,2.7442017,2.6695557,3.248291,3.2263184,3.284668,3.1433716,2.5458558,2.798971,3.0744953,3.3615386,3.286726,2.7253895,-0.3826117,-0.111604005,-0.7262451,-0.200672,0.49995363,1.0132581,101391.12,101341.42,101317.86,101297.89,101234.51,101177.05,4.6841736
2023-01-02 12:00:00,4.6841736,4.511383,4.724365,5.6570435,6.0679016,6.328064,2.932434,2.7442017,2.6695557,3.248291,3.2263184,3.284668,2.4744434,2.5458558,2.798971,3.0744953,3.3615386,3.286726,-0.43438232,-0.3826117,-0.111604005,-0.7262451,-0.200672,0.49995363,101453.04,101391.12,101341.42,101317.86,101297.89,101234.51,4.789398
2023-01-02 13:00:00,4.789398,4.6841736,4.511383,4.724365,5.6570435,6.0679016,3.2685547,2.932434,2.7442017,2.6695557,3.248291,3.2263184,2.3060675,2.4744434,2.5458558,2.798971,3.0744953,3.3615386,-0.6641077,-0.43438232,-0.3826117,-0.111604005,-0.7262451,-0.200672,101504.75,101453.04,101391.12,101341.42,101317.86,101297.89,5.7540894
